family_size,weighted_average_threshold,children,threshold,year
,15480.0,0,,2023
65.0,15850.0,0,15852.0,2023
65.0,14610.0,0,14614.0,2023
,19680.0,0,,2023
65.0,20490.0,0,20404.0,2023
65.0,18430.0,0,18418.0,2023
,24230.0,0,23834.0,2023
,31200.0,0,31428.0,2023
,36990.0,0,37901.0,2023
,41860.0,0,43593.0,2023
,47670.0,0,50159.0,2023
,52850.0,0,56099.0,2023
,62900.0,0,67483.0,2023
,15480.0,0,,2023
65.0,15850.0,0,,2023
65.0,14610.0,0,,2023
,19680.0,0,,2023
65.0,20490.0,0,21002.0,2023
65.0,18430.0,0,20923.0,2023
,24230.0,0,24526.0,2023
,31200.0,0,31942.0,2023
,36990.0,0,38452.0,2023
,41860.0,0,43766.0,2023
,47670.0,0,50472.0,2023
,52850.0,0,56594.0,2023
,62900.0,0,67810.0,2023
,15480.0,0,,2023
65.0,15850.0,0,,2023
65.0,14610.0,0,,2023
,19680.0,0,,2023
65.0,20490.0,0,,2023
65.0,18430.0,0,,2023
,24230.0,0,24549.0,2023
,31200.0,0,30900.0,2023
,36990.0,0,37275.0,2023
,41860.0,0,42864.0,2023
,47670.0,0,49393.0,2023
,52850.0,0,55575.0,2023
,62900.0,0,66908.0,2023
,15480.0,0,,2023
65.0,15850.0,0,,2023
65.0,14610.0,0,,2023
,19680.0,0,,2023
65.0,20490.0,0,,2023
65.0,18430.0,0,,2023
,24230.0,0,,2023
,31200.0,0,31008.0,2023
,36990.0,0,36363.0,2023
,41860.0,0,41999.0,2023
,47670.0,0,48640.0,2023
,52850.0,0,54683.0,2023
,62900.0,0,66151.0,2023
,15480.0,0,,2023
65.0,15850.0,0,,2023
65.0,14610.0,0,,2023
,19680.0,0,,2023
65.0,20490.0,0,,2023
65.0,18430.0,0,,2023
,24230.0,0,,2023
,31200.0,0,,2023
,36990.0,0,35807.0,2023
,41860.0,0,40714.0,2023
,47670.0,0,47238.0,2023
,52850.0,0,53416.0,2023
,62900.0,0,64908.0,2023
,15480.0,0,,2023
65.0,15850.0,0,,2023
65.0,14610.0,0,,2023
,19680.0,0,,2023
65.0,20490.0,0,,2023
65.0,18430.0,0,,2023
,24230.0,0,,2023
,31200.0,0,,2023
,36990.0,0,,2023
,41860.0,0,39952.0,2023
,47670.0,0,45602.0,2023
,52850.0,0,51809.0,2023
,62900.0,0,63198.0,2023
,15480.0,0,,2023
65.0,15850.0,0,,2023
65.0,14610.0,0,,2023
,19680.0,0,,2023
65.0,20490.0,0,,2023
65.0,18430.0,0,,2023
,24230.0,0,,2023
,31200.0,0,,2023
,36990.0,0,,2023
,41860.0,0,,2023
,47670.0,0,43808.0,2023
,52850.0,0,50136.0,2023
,62900.0,0,61651.0,2023
,15480.0,0,,2023
65.0,15850.0,0,,2023
65.0,14610.0,0,,2023
,19680.0,0,,2023
65.0,20490.0,0,,2023
65.0,18430.0,0,,2023
,24230.0,0,,2023
,31200.0,0,,2023
,36990.0,0,,2023
,41860.0,0,,2023
,47670.0,0,,2023
,52850.0,0,49710.0,2023
,62900.0,0,61268.0,2023
,15480.0,0,,2023
65.0,15850.0,0,,2023
65.0,14610.0,0,,2023
,19680.0,0,,2023
65.0,20490.0,0,,2023
65.0,18430.0,0,,2023
,24230.0,0,,2023
,31200.0,0,,2023
,36990.0,0,,2023
,41860.0,0,,2023
,47670.0,0,,2023
,52850.0,0,,2023
,62900.0,0,58907.0,2023
