Commodity,Beta_log_ndcons,P-Value,Average Share,Significance,Classification
carins,-0.0355815953669359,3.0632188910307536e-110,0.01820447814577446,Significant,Necessity
carrepair,-0.04099580287128894,7.179255676430006e-57,0.016042620828918493,Significant,Necessity
parking,-0.00012750367487735008,1.686024487038387e-07,0.00043009252483149107,Significant,Necessity
gasoline,-0.02162238248333427,3.1190442267665575e-243,0.023320787422991103,Significant,Necessity
pubtransport,-0.0006708234893419025,5.191853189757247e-79,0.0007018921756851314,Significant,Necessity
taxi,-0.0002469211723092581,3.9260043309087115e-26,0.000378134093590327,Significant,Necessity
othtransport,-0.0007991039867774471,8.114061502917627e-11,0.0012419156702613105,Significant,Necessity
utilities,-0.07325726717329135,4.941852939090374e-119,0.03150724751722571,Significant,Necessity
clothing,0.000762672453807997,1.824568061105758e-15,0.009046021603068189,Significant,Luxury
phone,-0.0040861661681876145,0.0,0.015797196661998015,Significant,Necessity
trips,0.002599897114577492,4.6572881870715834e-116,0.009559497385702042,Significant,Luxury
entert,0.001061265515652894,7.748264639785488e-34,0.005886799575016128,Significant,Luxury
repairs,0.0050367509574220995,5.387413673373731e-225,0.008001480653305418,Significant,Luxury
homeins,-0.023316401556284515,1.3760117598857508e-85,0.022119064035472494,Significant,Necessity
yearlyrent,-0.21464257739370377,2.8095949511288487e-217,0.1547903800973236,Significant,Necessity
school,-0.007369334192501962,3.532130219901808e-24,0.01256671222322457,Significant,Necessity
othrschool,-0.00036718359235692955,1.0347045656640905e-13,0.00032271973649717137,Significant,Necessity
totalhltcare,-0.0873613630037618,1.862210820799866e-101,0.033829593864430366,Significant,Necessity
childcare,-0.001929457963576631,6.511257043973522e-12,0.005102573820263369,Significant,Necessity
totfood,-0.08199547191240812,0.0,0.2576393817963301,Significant,Necessity
